Date,Total cases, Cases without NJ & NY, Total deaths, Total deaths without NJ & NY, Daily cases, Daily cases without NJ & NY
3/1/20,2320,2240,1,1,58,56
3/2/20,2380,2298,6,6,60,58
3/3/20,2442,2358,7,7,62,60
3/4/20,2508,2421,11,11,66,63
3/5/20,2582,2491,12,12,74,70
3/6/20,2659,2563,14,14,77,72
3/7/20,2749,2641,17,17,90,78
3/8/20,2851,2726,21,21,102,86
3/9/20,2957,2812,22,22,107,86
3/10/20,3083,2914,28,27,125,102
3/11/20,3255,3053,33,31,172,139
3/12/20,3478,3228,43,41,223,176
3/13/20,3772,3460,52,49,294,232
3/14/20,4149,3751,58,52,377,291
3/15/20,4524,4045,70,58,375,293
3/16/20,5082,4460,97,74,558,416
3/17/20,5864,5005,131,93,782,544
3/18/20,6985,5670,188,123,1121,665
3/19/20,8788,6603,265,164,1803,933
3/20/20,11266,7820,362,204,2477,1217
3/21/20,14547,9334,456,245,3282,1514
3/22/20,18948,11303,601,294,4401,1969
3/23/20,24592,13720,784,370,5644,2417
3/24/20,31448,16643,1021,463,6856,2923
3/25/20,39613,20264,1333,608,8165,3621
3/26/20,49606,24785,1746,753,9993,4521
3/27/20,61438,30272,2300,965,11831,5487
3/28/20,75190,36813,2934,1193,13752,6541
3/29/20,90542,44262,3561,1369,15352,7449
3/30/20,107525,52735,4381,1598,16983,8472
3/31/20,126758,62657,5617,2094,19233,9923
4/1/20,147924,73687,6846,2515,21166,11029
4/2/20,170858,86143,8432,3082,22933,12456
4/3/20,195755,99729,9747,3582,24898,13586
4/4/20,222563,114476,11031,4075,26807,14747
4/5/20,250618,130013,12470,4621,28056,15537
4/6/20,279837,146430,14138,5173,29218,16418
4/7/20,309735,163506,16447,6172,29899,17075
4/8/20,340522,181107,18563,7031,30786,17601
4/9/20,371929,198985,20638,7928,31408,17878
4/10/20,403561,217180,22731,8949,31632,18195
4/11/20,434746,235334,24777,9817,31185,18154
4/12/20,466028,253727,26548,10446,31282,18394
4/13/20,496688,271898,28376,11203,30660,18171
4/14/20,526819,289521,30780,12363,30130,17623
4/15/20,556578,306853,33329,13775,29759,17333
4/16/20,585843,323804,35442,14784,29265,16951
4/17/20,614998,341227,38056,16026,29155,17423
4/18/20,643913,358753,40442,17136,28915,17526
4/19/20,672471,376197,41671,18204,28558,17444
4/20/20,701319,394073,43466,19246,28848,17876
4/21/20,729958,412132,45923,20819,28639,18059
4/22/20,758456,430822,48312,22296,28498,18690
4/23/20,787367,450522,50749,23800,28911,19700
4/24/20,816788,470697,52867,25108,29421,20175
4/25/20,846863,490951,54517,26092,30075,20254
4/26/20,877171,511488,55810,26955,30308,20537
4/27/20,906786,531667,57235,27792,29614,20179
4/28/20,936248,552121,59454,29278,29462,20454
4/29/20,965626,572654,61960,31009,29379,20533
4/30/20,994352,592874,64256,32476,28726,20220
5/1/20,1022773,613336,66125,33666,28422,20462
5/2/20,1050663,634218,67681,34728,27889,20882
5/3/20,1078252,655225,68777,35411,27589,21007
5/4/20,1105843,676524,70086,36328,27591,21299
5/5/20,1133383,697947,72393,38019,27541,21423
5/6/20,1160600,719477,74851,39603,27217,21529
5/7/20,1187569,740955,76770,41035,26969,21478
5/8/20,1213540,761676,78497,42292,25970,20721
5/9/20,1239016,782320,79976,43394,25476,20644
5/10/20,1263660,802537,80855,43959,24644,20217
5/11/20,1287790,822376,81868,44690,24130,19839
5/12/20,1311634,842275,83483,45897,23844,19899
5/13/20,1334865,861741,85234,47261,23231,19466
5/14/20,1358058,881463,87008,48642,23193,19722
5/15/20,1380983,901024,88669,49836,22925,19561
5/16/20,1403817,920601,89892,50774,22834,19577
5/17/20,1426543,940116,90644,51298,22726,19515
5/18/20,1449683,960062,91414,51905,23140,19947
5/19/20,1472574,979696,92965,53107,22891,19634
5/20/20,1495872,999720,94533,54395,23298,20023
5/21/20,1518846,1019509,95756,55431,22974,19790
5/22/20,1541654,1039327,97025,56458,22809,19818
5/23/20,1563995,1058847,98146,57293,22341,19520
5/24/20,1586594,1078726,98754,57760,22599,19879
5/25/20,1608797,1098322,99267,58165,22202,19596
5/26/20,1630776,1117815,99952,58743,21979,19493
5/27/20,1651966,1136656,101461,59921,21190,18841
5/28/20,1672793,1155216,102643,60999,20827,18560
5/29/20,1693671,1173751,103809,61936,20878,18536
5/30/20,1714925,1192690,104778,62715,21253,18939
5/31/20,1736049,1211594,105364,63177,21124,18904
6/1/20,1756939,1230374,106136,63790,20890,18780
6/2/20,1778117,1249411,107169,64722,21178,19037
6/3/20,1799534,1268748,108159,65545,21417,19337
